filename,width,height,class,xmin,ymin,xmax,ymax
images (11).jpg,299,168,phone,8,35,57,136
images (11).jpg,299,168,phone,66,31,121,136
images (11).jpg,299,168,phone,130,42,175,136
images (11).jpg,299,168,phone,183,31,237,136
images (11).jpg,299,168,phone,244,39,290,133
images (12).jpg,273,185,phone,35,32,105,172
images (12).jpg,273,185,phone,107,33,174,175
images (12).jpg,273,185,phone,175,39,238,168
images (13).jpg,280,180,phone,47,44,113,175
images (13).jpg,280,180,phone,149,42,217,175
images.jpg,299,168,phone,52,16,256,167
iphone-4-closeup.jpg,500,333,phone,142,112,239,220
photo-1414408718521-f6f6198e9917.jpg,500,359,phone,30,185,93,219
photo-1416149517343-b030f2729cbd.jpg,500,339,phone,160,112,335,203
photo-1425315283416-2acc50323ee6.jpg,500,333,phone,213,98,285,239
photo-1446000442451-e162542e5f8d.jpg,500,333,phone,207,82,299,262
photo-1454473332662-09275b52e5a1.jpg,500,333,phone,201,101,271,259
photo-1457682524032-465ef406d105.jpg,500,333,phone,56,99,321,308
photo-1458862768540-8b091824fe2d.jpg,500,332,phone,185,14,340,311
photo-1462134750340-65243d62962b.jpg,500,335,phone,273,123,345,254
photo-1463171379579-3fdfb86d6285.jpg,500,333,phone,66,115,126,200
photo-1464380573004-8ca85a08751a.jpg,500,333,phone,302,46,453,227
photo-1465198217870-8bd6e645e8d1.jpg,500,375,phone,197,130,328,239
photo-1467007849282-42dad96c2312.jpg,500,331,phone,166,186,321,235
photo-1468495244123-6c6c332eeece.jpg,500,402,phone,335,84,441,190
photo-1470350576089-539d5a852bf7.jpg,500,334,phone,141,60,322,280
photo-1472143684393-8b081cb2e899.jpg,500,281,phone,203,68,296,241
photo-1477064996809-dae46985eee7.jpg,500,750,phone,269,423,363,578
photo-1480694313141-fce5e697ee25.jpg,500,333,phone,2,111,497,325
photo-1484015596239-a7f0d6db3bb1.jpg,500,333,phone,49,138,304,324
photo-1485001676914-eaae0a827b10.jpg,500,333,phone,146,149,338,245
photo-1486898145523-a2fef251733e.jpg,500,333,phone,120,93,223,268
photo-1487724448953-a9d9963d71ae.jpg,500,320,phone,349,149,399,229
photo-1488551523884-d0495fcbb59a.jpg,500,333,phone,203,69,314,272
